id,selected,part_of_speech,tags,english,chinese,norwegian_base,verb_present_tense,verb_past_tense,verb_imperative,noun_plural,noun_singular_definite,noun_plural_definite,adjective_neuter_form,adjective_plural_form,adjective_comparative,adjective_superlative_indefinite,adjective_superlative_definite,adverb_comparative,adverb_superlative
wb_eeaae1a20c4a137ee27b85c9b84d85188fa48121cba958803815566782f8b936,true,month,series,january,一月,januar,,,,,,,,,,,,,
wb_6f50596225dcbb2883c6b0d5c56dd5417a3173064fafdb2e90d98e4e47622781,true,month,series,february,二月,februar,,,,,,,,,,,,,
wb_4ced336a3804177930a41b929aa56a2bddbad42e66836e79d41be0bc3982dbe1,true,month,series,march,三月,mars,,,,,,,,,,,,,
wb_d05c4167149c2ed59a684920e4f1bfee730256227c9a8325bbaf9829c743f29b,true,month,series,april,四月,april,,,,,,,,,,,,,
wb_7241113455caeb0da24b8fe94d1376aa2543a38fb556e0ecb22f52722cb23673,true,month,series,may,五月,mai,,,,,,,,,,,,,
wb_55374e438bc9936278e3ea49559d4c10cfd027bfbdc88d48b9763cb3f5efa7ca,true,month,series,june,六月,juni,,,,,,,,,,,,,
wb_9747268ca2cf7f5d19d1cf3d4d536924075a94f3c51d2df7f47222f4ef0201d3,true,month,series,july,七月,juli,,,,,,,,,,,,,
wb_e12c7e148ff5ff5ccf803268d990a841a194a857c9c31258fec7a2aaa82e9f04,true,month,series,august,八月,august,,,,,,,,,,,,,
wb_134ba7f9f7cac89cf40cda3de771838971feb39175a14958f7ed5a465d6563f9,true,month,series,september,九月,september,,,,,,,,,,,,,
wb_a7c7dda7fa24bc3ed6346ef5b49ef8a65f06bee40e33863d9e231bf18253d9ae,true,month,series,october,十月,oktober,,,,,,,,,,,,,
wb_ce8c62c0e27cf33bf5e5e91a704c4eaf5f8c1a487bbe7d3d4786f57cbd5fe226,true,month,series,november,十一月,november,,,,,,,,,,,,,
wb_0c2c3b3e7d2868aa97fc3cc19c96b9af9f1561d07bc99281a80ff5925c78a55a,true,month,series,december,十二月,desember,,,,,,,,,,,,,
