id,selected,part_of_speech,tags,english,chinese,norwegian_base,verb_present_tense,verb_past_tense,verb_imperative,noun_plural,noun_singular_definite,noun_plural_definite,adjective_neuter_form,adjective_plural_form,adjective_comparative,adjective_superlative_indefinite,adjective_superlative_definite,adverb_comparative,adverb_superlative
wb_d3479eed665eff74624ffff5e745c5dbe96d041a5447678da2ed4c4378aeaecc,true,cardinal_number,series,one,一,en,,,,,,,,,,,,,
wb_1fda0fb665a320d4825c9b526dfe3fb500eb962a15952bb546188baa0c3703b3,true,cardinal_number,series,two,二,to,,,,,,,,,,,,,
wb_14ceae3ca6a3d5f1ba4404eadf2bbbccb9e9bb2de1ac04d51cd6ac8a58386c4e,true,cardinal_number,series,three,三,tre,,,,,,,,,,,,,
wb_3371f66f4ee8e89843e67b31f804074db5ef8c21cf246ae1cc18c8f75b224d29,true,cardinal_number,series,four,四,fire,,,,,,,,,,,,,
wb_315bc9e26b8dfcdfc3bf544e4fd37058fc2e592ae97051fdb6c7b79c7ab81b99,true,cardinal_number,series,five,五,fem,,,,,,,,,,,,,
wb_86c51cd019012a7ab8eda258bbb8f2c267c857f7ae340b5c3402af890c774559,true,cardinal_number,series,six,六,seks,,,,,,,,,,,,,
wb_4a022d4cf06c650f098d5457b23fa9e73af49931bbc9597426b4479e98d12b5b,true,cardinal_number,series,seven,七,sju,,,,,,,,,,,,,
wb_1c97f3dd5d1e96169cc36297bb6fdfb633cdf2903e32919a93158992aaca2324,true,cardinal_number,series,eight,八,åtte,,,,,,,,,,,,,
wb_2a2393f89c8ac2dbc927be72a0e294e9236129f68d42cc222f2bf597bd4527e0,true,cardinal_number,series,nine,九,ni,,,,,,,,,,,,,
wb_5d4cabc08e894deb01296497684856f99fd1ca2e9c28832237a34ad3abeef828,true,cardinal_number,series,ten,十,ti,,,,,,,,,,,,,
wb_bc6a5a1cff7ddb4a4bb54bccafb83ec01e3e81ec25a1356d1fc2632b0fd1a9c8,true,cardinal_number,series,eleven,十一,elleve,,,,,,,,,,,,,
wb_ed2ffde02d5ede4e71ac0396293779f5bb1eaba4a32ca50af52f811229069c0f,true,cardinal_number,series,twelve,十二,tolv,,,,,,,,,,,,,
wb_33d77f0d67e4ba99fc615051cba9de7464d57abb0b80eaf0cf1a610727f1901c,true,cardinal_number,series,thirteen,十三,tretten,,,,,,,,,,,,,
wb_c5377870b9729ff326c85b2bc19faa84fb51163f0dc60b67bed61f573cd0443b,true,cardinal_number,series,fourteen,十四,fjorten,,,,,,,,,,,,,
wb_a68395ffe8e260ebd4466958da0b6eb829324e2574c47c202678021fa1c736a5,true,cardinal_number,series,fifteen,十五,femten,,,,,,,,,,,,,
wb_dd6d7dc0f20a2d512d58f3dc52b56245ab2d33482143b84b96b2b284cd7ec499,true,cardinal_number,series,sixteen,十六,seksten,,,,,,,,,,,,,
wb_bc8c23fd2b7bcf62dedf368217fd86ea9f8e1f5f0a137775b6facee65d80eb9e,true,cardinal_number,series,seventeen,十七,sytten,,,,,,,,,,,,,
wb_d8a1efc7bae200f193718c35acb6a066799682c99d93107f864c95d71424457a,true,cardinal_number,series,eighteen,十八,atten,,,,,,,,,,,,,
wb_e07a7b3652ee5d5c2ed905c555e8382b1d4c25c3c29e68f29a718cfaee6debbe,true,cardinal_number,series,nineteen,十九,nitten,,,,,,,,,,,,,
wb_e8d56b8dfb82de471c2540abaa0c72a2b2a860595170d51a1ebf605ff34043eb,true,cardinal_number,series,twenty,二十,tjue,,,,,,,,,,,,,
wb_2dbd25c1d872d0dd130b87db2f9751cc724a3cad3d031431aab48eaf3ef26bc5,true,cardinal_number,series,twenty-one,二十一,tjueen,,,,,,,,,,,,,
wb_e75e47c77cbb969bd6d58b5cc2bddc7f5545cb8af0fdb97f82f32068ec45c7e9,true,cardinal_number,series,twenty-two,二十二,tjueto,,,,,,,,,,,,,
wb_07e37b8ff798935796d9ac803831dbab18e9d1480aa3c8acfc6fdcd14a17036d,true,cardinal_number,series,twenty-three,二十三,tjuetre,,,,,,,,,,,,,
wb_5dcfdcd3c3711df0076ef61085e87e200b0a176f218f1309a6e7a5465c9924a2,true,cardinal_number,series,twenty-four,二十四,tjuefire,,,,,,,,,,,,,
wb_5b253b6c41f5f98ac91d34d9f856cdcaa4cb8e9fc80850328e7733b8febde2aa,true,cardinal_number,series,twenty-five,二十五,tjuefem,,,,,,,,,,,,,
wb_5ec1128382fe049c6aafa8cc8d2224153b26c78c799f4c3bf4192af810122e6b,true,cardinal_number,series,twenty-six,二十六,tjueseks,,,,,,,,,,,,,
wb_e7e5e0a759e664dff89676e3b4d365220e027b3172131c6cea48e3f14b448cf1,true,cardinal_number,series,twenty-seven,二十七,tjuesju,,,,,,,,,,,,,
wb_11575552aca83a7bfd2625c28b8fb8c703fb016eb7a1a9f5d32776d84d98637e,true,cardinal_number,series,twenty-eight,二十八,tjueåtte,,,,,,,,,,,,,
wb_4630ef4133fc13b4d4a2a23a6bb0258981af74ff629ff4c23ae9a90fd0b6ab7e,true,cardinal_number,series,twenty-nine,二十九,tjueni,,,,,,,,,,,,,
wb_54c940d46a59127f41144d09e03c3c32f9e3323e6318eadb1f66cb6a64ff49c5,true,cardinal_number,series,thirty,三十,tretti,,,,,,,,,,,,,
wb_167246c2c27f38f0a504dfa956ea43a828e5f0b46a0dcd2ccb1bd46a242e73e5,true,cardinal_number,series,forty,四十,førti,,,,,,,,,,,,,
wb_e27b981655c459aff015e91f28e0a6b51d1cb96483253b43efe05af7f762f2c4,true,cardinal_number,series,fifty,五十,femti,,,,,,,,,,,,,
wb_8a88351d34cc2c09664ab1d24823b59340fd777e937c7f9d5c85067b3e9e3f9b,true,cardinal_number,series,sixty,六十,seksti,,,,,,,,,,,,,
wb_61069accf9eb0086ee572ae68f3a555a592883c7caf5f4f97da96ead867ed3f2,true,cardinal_number,series,seventy,七十,sytti,,,,,,,,,,,,,
wb_605b99b8b94c3d7c177528d4a56a75973335bc6beb8cca3f792047a04b3e4509,true,cardinal_number,series,eighty,八十,åtti,,,,,,,,,,,,,
wb_d88c3c9ad50dd54d9c5ea3fa245d5691f4b8d1de987559b4a56da27caf6e9dfa,true,cardinal_number,series,ninety,九十,nitti,,,,,,,,,,,,,
wb_8274ee5079ac57e41f2064509bd2243711f24686ab26cf05077918b1c8d82b40,true,cardinal_number,series,one hundred,一百,hundre,,,,,,,,,,,,,
wb_d097635d0be6e59b808d0656865795643ce65be665b6a30da15610a4136707a8,true,cardinal_number,series,two hundred,二百,to hundre,,,,,,,,,,,,,
wb_8588054f08595e2b4be3fae104f7d809e9b2de231b8b80c9b402bac4228ddf8a,true,cardinal_number,series,three hundred,三百,tre hundre,,,,,,,,,,,,,
wb_adebd542d0ad80329b16e90cadd11ff261b8de69f09fadff7397e74ee0e5715a,true,cardinal_number,series,five hundred,五百,fem hundre,,,,,,,,,,,,,
wb_310859079c0c2f3331c86092f689fa2751f3517e82f594cc7eca99b70d08e662,true,cardinal_number,series,one thousand,一千,tusen,,,,,,,,,,,,,
wb_3e4cd616f37e909d7e47d9504e32b21e000e6e6001a22ab79c04e6c39f94c737,true,cardinal_number,series,five thousand,五千,fem tusen,,,,,,,,,,,,,
wb_d7d54150d642fb660ca2b2b41279c2450dd75f0fe6a4017c862a90d9cd98f564,true,cardinal_number,series,one hundred thousand,十万,hundre tusen,,,,,,,,,,,,,
wb_f47baddd881704e77ff2c836d071e352e06291f80df92985984250d8a26a6e2e,true,ordinal_number,series,first,第一,første,,,,,,,,,,,,,
wb_32107f8579227428dcf58213d481eabb723a8e6d39f4cb81109c3b9fce22398d,true,ordinal_number,series,second,第二,andre,,,,,,,,,,,,,
wb_e7d308e29f866373096c7126d6d98f496eb8c6188149bfe0567d73ec54d0b03e,true,ordinal_number,series,third,第三,tredje,,,,,,,,,,,,,
wb_d9a1fb6e3b34ae4f36b9b65989f70111752e5eb9728f063fc0b6480ed00864b8,true,ordinal_number,series,fourth,第四,fjerde,,,,,,,,,,,,,
wb_026e1ff82cd098ccff692201ef2c205e54c90de490c7e4535f8e0ef6cc69e06c,true,ordinal_number,series,fifth,第五,femte,,,,,,,,,,,,,
wb_4e04f40bf15ae437103840e02f978c7bba71f65112dad66a2b1b412d6e9cd0cb,true,ordinal_number,series,sixth,第六,sjette,,,,,,,,,,,,,
wb_e015d735a74bdbae20100a4b72b0e6aee74040013d195ea6f7648a6cbf4fcd42,true,ordinal_number,series,seventh,第七,sjuende,,,,,,,,,,,,,
wb_63114df8395c2bef8831fd9c713147c814496aff79dcf2e9395855cd3a6d8ce8,true,ordinal_number,series,eighth,第八,åttende,,,,,,,,,,,,,
wb_96efa66f467666abe4a528f90ac711ca653705bdfdbd9135298c44d428ae758a,true,ordinal_number,series,ninth,第九,niende,,,,,,,,,,,,,
wb_065b36bf861c3773da0de7ea29ce1b6fadcb39a16bf08a4f55363631bbe6f140,true,ordinal_number,series,tenth,第十,tiende,,,,,,,,,,,,,
wb_28bdbf6aac9617b4961e3dad92d57ebcb5709cb401312f1533ed32ccc328dfd4,true,ordinal_number,series,eleventh,第十一,ellevte,,,,,,,,,,,,,
wb_8ccf7321f938d5daef5530ebabeaa81f720fab4edc953ee31ac9926a4198ee69,true,ordinal_number,series,twelfth,第十二,tolvte,,,,,,,,,,,,,
wb_f93114982179443e41da55520b23fff3e1175195d853a266afce1af4c60b8d40,true,ordinal_number,series,thirteenth,第十三,trettende,,,,,,,,,,,,,
wb_2dc836d2d64dd6d606d54aaba24a8036fcb36f01e03d2994e8b3a121eefb6c70,true,ordinal_number,series,fourteenth,第十四,fjortende,,,,,,,,,,,,,
wb_63cbff6b6abb4f305bec7f1495e0d70a10dc59a09a21920fe75ea19b106fa8d2,true,ordinal_number,series,fifteenth,第十五,femtende,,,,,,,,,,,,,
wb_663e1a37bc42c133fd72817b961a4f62bcfe20767a85a5474a6f6b3eef777b07,true,ordinal_number,series,sixteenth,第十六,sekstende,,,,,,,,,,,,,
wb_63f056d73434f7e3a4edb33c6704340f80381110a1acbfaab199b54d97f942a5,true,ordinal_number,series,seventeenth,第十七,syttende,,,,,,,,,,,,,
wb_0c11b8b1d78d3aff93b1a018e93da9cf98e7dd536e0a73b3a1e088b8a3a061c6,true,ordinal_number,series,eighteenth,第十八,attende,,,,,,,,,,,,,
wb_982f5b84b1b6bf5e06cc1fbde6635449fd4cda22f18b0126de87473a333159ad,true,ordinal_number,series,nineteenth,第十九,nittende,,,,,,,,,,,,,
wb_49822a0e5be2c2f40eb22f3579b2eb886b7860441aeeba760da1f510c6da5d46,true,ordinal_number,series,twentieth,第二十,tjuende,,,,,,,,,,,,,
wb_6fceada41e0837e820215c722d8eb242bbab8987260571497b9daddcca8cd696,true,ordinal_number,series,twenty-first,第二十一,tjueførste,,,,,,,,,,,,,
wb_e9007d98491c5e85cdd49341523b2d77010a569598b8cc4f04e68f77dd2470c2,true,ordinal_number,series,twenty-second,第二十二,tjueandre,,,,,,,,,,,,,
