id,selected,part_of_speech,tags,english,chinese,norwegian_base,verb_present_tense,verb_past_tense,verb_imperative,verb_present_participle,verb_past_participle,verb_passive_infinitive,verb_passive_present,verb_passive_past,noun_plural,noun_singular_definite,noun_plural_definite,noun_singular_definite_genitive,noun_plural_definite_genitive,noun_singular_indefinite_genitive,noun_plural_indefinite_genitive,adjective_feminine_form,adjective_neuter_form,adjective_plural_form,adjective_comparative,adjective_superlative_indefinite,adjective_superlative_definite,pronoun_object,pronoun_reflexive,pronoun_plural_subject,pronoun_plural_object,pronoun_plural_reflexive,determinative_feminine_form,determinative_neuter_form,determinative_plural_form,adverb_comparative,adverb_superlative
wb_145da039234d5a4a1c0d82b06616d818c3dda7022f9d7ae1839888a0ad91d912,true,pronoun,pronoun,you(subject),你（主格）,du,,,,,,,,,,,,,,,,,,,,,,deg,deg,dere,dere,dere selv,,,,,
wb_5c058aaa167972ddfa5edb97cfc8bcff19e48c390f3b2404111d3d6eafd0cf18,true,pronoun,pronoun,you(object),你（宾格）,deg,,,,,,,,,,,,,,,,,,,,,,deg,deg,dere,dere,dere selv,,,,,
wb_f701c21dc86ce6a953ad771745856497c616dc3fc40d2f417bf834212251966a,true,determinative,pronoun,your(common),你的（阴阳性）,din,,,,,,,,,,,,,,,,,,,,,,,,,,,di,ditt,dine,,
wb_0907f9707d1883ee3fe2f833add3ae6240bb9c16617f8a5bf766e28a8ea64488,true,determinative,pronoun,your(neuter),你的（中性）,ditt,,,,,,,,,,,,,,,,,,,,,,,,,,,di,ditt,dine,,
wb_69a90d5b3e0f446d3b18d3694debac8da564f730f1f5bfa98a503a4c5a282d52,true,determinative,pronoun,your(plural),你的（复数）,dine,,,,,,,,,,,,,,,,,,,,,,,,,,,di,ditt,dine,,
wb_4660d36d3509c005c055795426d6541365e6b260b5add89153319d5c664ab8fb,true,pronoun,pronoun,yourself,你自己（反身）,deg selv,,,,,,,,,,,,,,,,,,,,,,deg,deg selv,dere,dere,dere selv,,,,,
wb_0db78d18afa6ba789bc5b62630820a23e190e416671847200a89bbe1e5fce3e1,true,determinative,pronoun,your own,你自己的（反身物主）,din egen,,,,,,,,,,,,,,,,,,,,,,,,,,,din egen,ditt eget,dine egne,,
wb_e759e078b708130e52d8ff55603949ea007ac26f53e692c8b896e4ebcf4978d5,true,pronoun,pronoun,I,我（主格）,jeg,,,,,,,,,,,,,,,,,,,,,,meg,meg,vi,oss,oss selv,,,,,
wb_2c7f9032d4ead80ea0e13598b7cec3932a59fd087b25b4c11f181e3c95667cc7,true,pronoun,pronoun,me,我（宾格）,meg,,,,,,,,,,,,,,,,,,,,,,meg,meg,vi,oss,oss selv,,,,,
wb_69b3b821fa1ba6c37220646647c43fcf35b92f6c01ff4cef666eb607a78c3546,true,determinative,pronoun,my(common),我的（阴阳性）,min,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,mitt,mine,,
wb_f7cc3fa225f86f05923f34a3178293d76b9a96fea5e731b78b9910ce9749a3a7,true,determinative,pronoun,my(neuter),我的（中性）,mitt,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,mitt,mine,,
wb_8611d82c07baa8bae3d1054523ec2e3c9669da5b396ed2a3527da7e87b27ee7d,true,determinative,pronoun,my(plural),我的（复数）,mine,,,,,,,,,,,,,,,,,,,,,,,,,,,mi,mitt,mine,,
